,rescode,edulow,eduvoc,eduhigh
0,11101,0.0,0.0,1.0
1,11102,0.0,0.0,1.0
2,11103,0.0,0.0,1.0
3,11201,0.0,0.0,1.0
4,11202,0.0,0.0,1.0
5,11203,1.0,0.0,0.0
6,11301,0.0,1.0,0.0
7,11302,0.0,1.0,0.0
8,11304,1.0,0.0,0.0
9,11402,0.0,0.0,1.0
10,11403,0.0,0.0,1.0
11,11404,0.0,0.0,1.0
12,11405,0.0,1.0,0.0
13,11409,0.0,1.0,0.0
14,11410,1.0,0.0,0.0
15,11411,0.0,0.0,1.0
16,11416,0.0,0.0,1.0
17,11417,1.0,0.0,0.0
18,11418,0.0,1.0,0.0
19,11419,0.0,1.0,0.0
20,11501,0.0,0.0,1.0
21,11502,0.0,0.0,1.0
22,11504,0.0,0.0,1.0
23,11505,0.0,0.0,1.0
24,11506,0.0,1.0,0.0
25,11602,0.0,1.0,0.0
26,11603,0.0,1.0,0.0
27,11604,0.0,0.0,1.0
28,11701,1.0,0.0,0.0
29,11702,0.0,0.0,1.0
30,11703,0.0,0.0,1.0
31,12101,0.0,0.0,1.0
32,12102,0.0,0.0,1.0
33,12103,0.0,0.0,1.0
34,12105,0.0,0.0,1.0
35,12106,0.0,0.0,1.0
36,12201,0.0,0.0,1.0
37,12202,1.0,0.0,0.0
38,12203,1.0,0.0,0.0
39,12206,0.0,1.0,0.0
40,12207,0.0,0.0,1.0
41,12301,0.0,0.0,1.0
42,12302,0.0,0.0,1.0
43,12303,0.0,1.0,0.0
44,12304,0.0,1.0,0.0
45,12305,0.0,0.0,1.0
46,12306,0.0,0.0,1.0
47,12307,0.0,1.0,0.0
48,12401,0.0,1.0,0.0
49,12402,0.0,1.0,0.0
50,12404,1.0,0.0,0.0
51,12405,0.0,0.0,1.0
52,12406,0.0,1.0,0.0
53,12407,0.0,0.0,1.0
54,12408,0.0,0.0,1.0
55,12409,0.0,1.0,0.0
56,12501,0.0,0.0,1.0
57,12502,0.0,1.0,0.0
58,12504,0.0,0.0,1.0
59,12505,0.0,0.0,1.0
60,12506,0.0,1.0,0.0
61,13101,0.0,0.0,1.0
62,13102,0.0,0.0,1.0
63,13103,0.0,0.0,1.0
64,13104,0.0,0.0,1.0
65,13105,0.0,0.0,1.0
66,13106,1.0,0.0,0.0
67,13201,0.0,0.0,1.0
68,13202,1.0,0.0,0.0
69,13203,0.0,0.0,1.0
70,13204,0.0,0.0,1.0
71,13205,0.0,1.0,0.0
72,13206,0.0,0.0,1.0
73,13207,1.0,0.0,0.0
74,13208,0.0,1.0,0.0
75,13301,0.0,0.0,1.0
76,13302,0.0,0.0,1.0
77,13303,0.0,0.0,1.0
78,13304,0.0,0.0,1.0
79,13305,0.0,0.0,1.0
80,13307,0.0,1.0,0.0
81,13401,0.0,1.0,0.0
82,13402,0.0,0.0,1.0
83,13403,0.0,0.0,1.0
84,13404,1.0,0.0,0.0
85,13501,0.0,0.0,1.0
86,13502,0.0,0.0,1.0
87,13503,0.0,0.0,1.0
88,13504,0.0,0.0,1.0
89,13505,0.0,0.0,1.0
90,14101,0.0,0.0,1.0
91,14102,0.0,0.0,1.0
92,14104,0.0,0.0,1.0
93,14105,0.0,0.0,1.0
94,14106,0.0,0.0,1.0
95,14108,0.0,1.0,0.0
96,14201,0.0,0.0,1.0
97,14202,0.0,0.0,1.0
98,14207,0.0,0.0,1.0
99,14208,0.0,1.0,0.0
100,14209,0.0,0.0,1.0
101,14210,0.0,0.0,1.0
102,14301,0.0,0.0,1.0
103,14302,0.0,0.0,1.0
104,14303,1.0,0.0,0.0
105,14304,1.0,0.0,0.0
106,14401,0.0,1.0,0.0
107,14402,0.0,0.0,1.0
108,14405,1.0,0.0,0.0
109,14408,0.0,1.0,0.0
110,14409,0.0,0.0,1.0
111,14410,0.0,0.0,1.0
112,14441,0.0,0.0,1.0
113,14501,0.0,0.0,1.0
114,14502,1.0,0.0,0.0
115,14503,0.0,0.0,1.0
116,14504,1.0,0.0,0.0
